id,lat,lon,name,status,country,location
2571,44.49269104,12.28921986,Marina di Ravenna SIAP,active,Italy,Italy
2033,38.49423218,-8.930978775,SET-01 - Setubal,active,,
2051,38.49423218,-8.930978775,SET-01-300-test,active,,
2050,38.49423218,-8.930978775,SET-01-test,active,,
1618,38.51457977,-8.909410477,TAD Setubal (Press),active,,
1617,38.51457977,-8.809410095,TAD Setubal (Temp),active,,
1044,46.5,8.616999626,Tamosy Large Panel (Press),active,,
1043,45.75619888,8.616999626,Tamosy Large Panel (Temp),active,,
919,6.25,3.24000001, - Lagos ,active,,
960,16.75499916,-22.98329926, islas del - Palmeira Cabo Verde,active,,
1014,-69.00777435,39.57027817,Antarctica - Syowa ,active,,
1028,-65.25,-64.26999664,Antarctica - Vernadsky ,active,,
1798,17.88999939,-61.81999969,Antigua_ Barbuda & Redonda - Barbuda,active,Antigua, Barbuda.Redonda 
1572,-38,-57.53900146,Argentina - Mar del Plata ,active,,
1504,-47.75400162,-65.91500092,Argentina - Puerto Deseado ,active,,
1794,-47.75357819,-65.91469574,Argentina - Puerto Deseado,active,Argentina ,
1529,-42.76300049,-65.03099823,Argentina - Puerto Madryn ,active,,
2528,-54.81700134,-68.21700287,Argentina - Ushuaia,active,Argentina,
1804,31.83050919,34.64154816,Ashdod Port,active,Israel,
827,-18.00079918,122.2185974,Australia - Broome_AU ,active,,
820,-41.05009842,145.9149933,Australia - Burnie_Tasmania_AU ,active,,
1294,-24.22100067,113.3970032,Australia - Cape Cuvier Wharf,active,,
874,-19.27729988,147.0583954,Australia - Cape_Ferguson_AU ,active,,
837,-10.42940044,105.6692963,Australia - Christmas_Island_AU ,active,,
844,-12.11670017,96.89189911,Australia - Cocos_Island_AU ,active,,
856,-12.47189999,130.8457947,Australia - Darwin_AU ,active,,
870,-33.8708992,121.895401,Australia - Esperance_AU ,active,,
888,-13.85999966,136.415802,Australia - Groote Eylandt ,active,,
892,-31.82550049,115.7386017,Australia - Hillarys_Harbor_AU ,active,,
966,-34.47380066,150.9118958,Australia - Port_Kembla_AU ,active,,
974,-35.10860062,138.4669952,Australia - Port_Stanavac_AU ,active,,
973,-38.34339905,141.613205,Australia - Portland_AU ,active,,
970,-21.81669998,114.1910019,Australia - PtMurat ,active,,
985,-23.1609993,150.7902069,Australia - Rosslyn_Bay_AU ,active,,
1008,-42.54589844,147.9326935,Australia - Spring_Bay_AU ,active,,
1019,-32.14889908,133.6412964,Australia - Thevenard_AU ,active,,
1400,26.42000008,-79.01000214,Bahamas - Settlement pt,active,,
839,22.33329964,91.82499695,Bangladesh - Chittagong ,active,,
1805,18.20813751,-71.09215546,Barahona,active,Dominican Republic,
2486,13.26298046,-59.64485168,Barbados - Port St. Charles,active,Barbados,
1809,21.32180023,-158.1192932,Barbers Point,active,Hawaii; U.S.A.,
877,-3.716666698,-38.46670151,Brasil - Fortaleza ,active,,
990,-12.97000027,-38.52000046,Brasil - Salvador_Itaparica ,active,,
