ID,lat,lon,name,status,COUNTRY
1429,41.523,-70.672,"USA - Woods Hole, MA",active,
1430,46.908,-124.11,"USA - Westport,WA",active,
1432,1.984,-157.473,Kiribati - Christmas,active,
1433,18.055,-65.833,"USA - Yabucoa Harbor, PR",active,
1434,59.548,-139.735,USA - Yakutat,active,
1436,-14.803,153.585,Station 55023 - STB Coral Sea,active,
1437,-15.8,158.5,Station 55012 - STB Coral Sea,active,
1438,41.92,8.76,France - Ajaccio ,active,
1439,39.867,3.117,Spain - Alcudia ,active,
1440,31.211,29.924,Egypt - Alexandria ,active,
1441,36.177,-5.398,Spain - Algeciras ,active,
1442,18.48,-66.702,Puerto Rico - Arecibo (GTS) ,active,
1443,44.665,-1.164,France - Arcachon Eyrac ,active,
1444,50.969,1.868,France - Calais ,active,
1445,47.874,-3.907,France - Concarneau ,active,
1446,-40.899,176.232,New Zealand - Castlepoint ,active,
1447,18.017,120.483,Philippines - Currimao ,active,
1448,6.124,81.127,Sri Lanka - Hambantota ,active,
1449,38.917,1.45,Spain - Ibiza2 ,active,
1450,25.63,57.77,Iran - Jask ,active,
1451,37.022,22.11,Greece - Kalamata ,active,
1452,37.64,21.319,Greece - Katakolo ,active,
1453,47.051,142.044,Russia - Kholmsk ,active,
1454,46.633,142.767,Russia - Korsakov ,active,
1455,28.141,-15.412,Spain - LasPalmas2 ,active,
1456,10,-83.033,Costa Rica - Limon ,active,
1457,53.45,-3.018,UK - Liverpool ,active,
1458,-10.267,40.2,Tanzania - Mtwara ,active,
1459,23.628,58.565,Oman - Muscat (BGAN) ,active,
1460,23.633,58.567,Oman - Muscat ,active,
1461,39.56,2.638,Spain - PalmadeMallorca ,active,
1462,-7.748,108.501,Indonesia - Pangandaran ,active,
1463,37.935,23.621,Greece - Peiraias ,active,
1464,53.017,158.65,Russia - Petropavlovsk ,active,
1465,42.909,133.922,Russia - Preobrazheniye ,active,
1466,-46.085,166.589,New Zealand - Puysegur Welcome Bay ,active,
1467,9.4,-84.167,Costa Rica - Quepos ,active,
1468,-14.946,-147.706,"France - Rangiroa Atoll (Tuamotu, French Polynesia) ",active,
1469,-29.28,-177.894,New Zealand - Raoul Island Boat Cove ,active,
1470,-29.251,-177.904,New Zealand - Raoul Island Fishing Rock ,active,
1471,48.716,-3.966,France - Roscoff ,active,
1472,44.35,135.8,Russia - Rudnaya Pristan ,active,
1473,18.421,-69.629,Dominican Republic - Santo Domingo/p.San Andres ,active,
1474,50.678,156.139,Russia - Severo Kurilsk (web) ,active,
1475,48.642,-2.028,France - Saint-Malo ,active,
1477,37.438,24.941,Greece - Syros ,active,
1478,36.006,-5.604,Spain - Tarifa ,active,
1479,28.477,-16.241,Spain - Tenerife2 ,active,
1480,-0.53,98.5,Indonesia - Tanabalah ,active,
1482,-23.342,-149.476,France - Tubuaï Austral Islands ,active,
1483,45.418,12.427,Italy - Venice ,active,
1484,51.727,157.989,Russia - Vodopadnaya ,active,
1489,36.9441,-25.149,Santa Maria,active,
1490,-13.961,110.004,Station 56001 - STB Indian Ocean 1,active,
1491,-15.021,117.989,Station 56003 - STP Indian Ocean 3,active,
1493,16.838,-99.903,Mexico - Acapulco Club de Yates ,active,
1494,53.557,6.749,Germany - Borkum Fischerbalje ,active,
1495,50.727,1.577,France - Boulogne-Sur-Mer ,active,
1496,3.891,-77.081,Colombia - Buenaventura ,active,
1497,35.093,129.037,Korea - Busan ,active,
1498,39.21,9.114,Italy - Cagliari ,active,
1499,18.617,-91.817,"Mexico - Ciudad del Carmen, Camp. ",active,
1500,42.967,9.35,France - Centuri ,active,
1501,20.865,-90.405,"Mexico - Celestun, Yuc. ",active,
1502,-35.36,-72.46,Chile - Constitucion ,active,
1503,37.498,15.094,Italy - Catania ,active,
1504,-47.754,-65.915,Argentina - Puerto Deseado ,active,
1505,16.303,-61.072,"France - La Desirade Island, Guadeloupe ",active,
1506,43.405,4.893,France - Fos-sur-Mer ,active,
1507,18.15,-94.27,Mexico - Frontera ,active,
1508,44.41,8.925,Italy - Genova ,active,
1509,38.784,15.193,Italy - Ginostra (Isola di Stromboli) ,active,
1510,32.471,34.863,Israel - Hadera ,active,
1511,54.176,7.891,Germany - Helgoland Binnenhafen ,active,
1512,54.758,8.297,Germany - Hörnum ,active,
1513,-16.722,-151.032,"France - Huahine island (Society Islands, French Polynesia) ",active,
1514,21.217,-86.717,"Mexico - Isla Mujeres, Q. R. ",active,
1515,-42.413,173.703,New Zealand - Kaikoura ,active,
1516,35.514,23.637,Greece - Kasteli ,active,
1517,54.5,10.275,Germany - LT Kiel ,active,
1518,35.5,12.604,Italy - Lampedusa ,active,
1519,44.097,9.858,Italy - La Spezia ,active,
1520,46.158,-1.221,France - La Rochelle-Pallice ,active,
1521,17.94,-102.178,Mexico - Lazaro Cardenas ,active,
1522,-37.59,-73.66,Chile - Lebu ,active,
1523,47.543,-2.895,France - Le Crouesty ,active,
1524,46.498,-1.794,France - Les Sables d'Olonne ,active,
1526,24.15,-110.3,Mexico - La Paz ,active,
1527,13.818,120.202,Philippines - Lubang ,active,
1528,14.712,-92.401,"Mexico - Puerto Madero, Chis. ",active,
1529,-42.763,-65.031,Argentina - Puerto Madryn ,active,
1531,23.181,-106.424,Mexico - Mazatlan ,active,
1532,38.196,15.563,Italy - Messina ,active,
1533,-37.047,174.512,New Zealand - Manakau ,active,
1534,18.09,-67.938,USA - Mona Island PR (web) ,active,
1536,-22.247,166.412,France - Nouméa - Numbo (New Caledonia) ,active,
1567,-45.814,170.629,New Zealand - Dunedin ,active,
1568,38.121,13.371,Italy - Palermo ,active,
1569,-14.277,-170.691,Samoa - Pago Pago ,active,
1570,-45.467,-72.817,Chile - Puerto Chacabuco ,active,
1572,-38,-57.539,Argentina - Mar del Plata ,active,
1573,45.569,-1.062,France - Port-Bloc ,active,
1574,40.842,8.404,Italy - Porto Torres ,active,
1575,18.505,-68.376,Dominican Republic - Punta Cana ,active,
1576,19.799,-70.702,Dominican Republic - Puerto Plata ,active,
1577,21.367,-86.75,"Mexico - Puerto Morelos, Q. R. ",active,
1578,-20.92,55.28,France - Pointe des Galets (Reunion Island) GTS ,active,
1580,47.26,-2.2,France - Saint-Nazaire ,active,
1581,16.168,-95.197,"Mexico - Salina Cruz, Oax. ",active,
1582,54.511,13.643,Germany - Sassnitz ,active,
1584,41.836,9.374,France - Solenzara ,active,
1585,-15.917,-5.717,Saint-Helena - Saint Helena ,active,
1586,-43.57,172.773,New Zealand - Christchurch ,active,
1587,-37.05,-12.3,UK - Tristan da Cunha ,active,
1588,-18.16,49.427,Madagascar - Toamasina ,active,
1590,1.82,-78.729,Colombia - Tumaco ,active,
1591,20.97,-97.4,Mexico - Tuxpan ,active,
1592,19.192,-96.124,"Mexico - Veracruz, Ver. ",active,
1594,42.617,152.583,Station 21401 - 250NM Southeast of Iturup Island,active,
1595,-7.397,-93.5,"Station 32413 - 1000 NM WestNorthwest of Lima, Peru",active,
1596,-26,176,Station 55016 - ETD Fiji Basin,active,
1597,13.57379,-89.83813,El Salvador - Acajutla_SV,active,
1599,41.92,8.76,France - Ajaccio2,active,
1600,37.03333,27.41667,Turkey - Bodrum,active,
1601,42.9669,9.350146,France - Centuri2,active,
1602,-11.7035,43.24809,Comores - Comores,active,
1603,25.133,62.033,Pakistan - Gwadar,active,
1604,44.416,34.05,Ukraina - Kaciveli,active,
1605,13.3093,-87.8181,El Salvador - La_Union_SV,active,
1606,40.96667,27.96667,Turkey - Marmara Ereglisi,active,
1607,43.72867,7.42158,"Monaco - Monaco, Fontvieille harbour",active,
1608,43.695,7.285,France - Nice2,active,
1609,42.01667,35.15,Turkey - Sinop,active,
1610,41.8358,9.3738,France - Solenzara2,active,
1611,43.1229,5.91472,France - Toulon2,active,
1612,12.10426,-68.94156,Curaçao - Willemstad,active,
1613,38.5,-8.5,B02 avg30,active,
1614,38.5,-8,B02 avg300,active,
1615,38.5,-7.5,B02 TS signal,active,
1616,38.5,-7,B02 TS AlertLevel,active,
1617,38.51458,-8.80941,TAD Setubal (Temp),active,
1618,38.51458,-8.90941,TAD Setubal (Press),active,
1619,38.78,-8.13,Lisbona (Temp),active,
1620,38.78,-7.9,Lisbona (Press),active,
1621,38.7,-9.41667,Cascais Tidal wave (Avg),active,
1622,37.10191,-8.673238,Lagos (Avg),active,
1623,38.44484,-9.102014,Sesimbra (Avg),active,
1624,16.8333,-99.9166,Mexico - Acapulco_MX,active,
1625,39.355,-74.4183,USA - Atlantic_City_NJ,active,
1626,51.863,-176.632,USA - Adak_AK,active,
1627,12.7883,44.9742,Yemen - Aden,active,
1628,56.8975,-154.2481,USA - Alitak_US,active,
1629,37.772,-122.298,USA - Alameda_CA,active,
