ID,Name,Group,Latency,Status,Details,Last Date,Max. Time,Min. Time,lat,lon,status
2805,"Burlington, Delaware River, NJ",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,40.080,-74.873,Web
2768,"Calcasieu Pass, LA",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,29.768,-93.343,Web
2725,"Calumet Harbor, IL",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,41.730,-87.538,Web
2790,"Cambridge, MD",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,38.574,-76.072,Web
2881,"Cape Disappointment, WA",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,46.281,-124.046,Web
2806,"Cape May, NJ",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,38.968,-74.960,Web
2734,"Cape Vincent, NY",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,44.130,-76.332,Web
2769,"Carrollton, LA",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,29.933,-90.135,Web
2684,"Cedar Key, FL",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,29.134,-83.031,Web
2839,"Charleston, Cooper River Entrance, SC",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,32.781,-79.924,Web
2820,"Charleston, OR",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,43.345,-124.322,Web
2796,"Chatham, MA",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,41.688,-69.951,Web
2882,"Cherry Point, WA",NOAA,> 100d,,Details, 01 Jan 0001 00:00,Last Value .000 m, 01 Jan 0001 00:00,48.863,-122.758,Web
